sample_id,Group,total_frags_30_500,median_bp_30_500,mean_bp_30_500,sd_bp_30_500,prop_short_90_150,prop_mono_150_220,prop_di_300_450,short_to_long_ratio_90_150_over_151_220
SRR13404367,ALS,55659,162,173.41470382148438,50.79572570019709,0.27801433730394004,0.634416716074669,0.049192403744228244,0.4485897324405021
SRR13404368,ALS,56055,157,170.12368209793948,52.96195538721657,0.3527606814735528,0.5505842476139506,0.04925519578984926,0.6654888103651354
SRR13404369,ALS,55008,154,162.74358275159983,46.45559429210242,0.4134853112274578,0.5268688190808609,0.031013670738801628,0.8197347556580654
SRR13404370,ALS,53173,168,196.24489872679723,76.44499011336929,0.24499275948319635,0.5242886427322138,0.10588080416752864,0.47753097280258044
SRR13404371,Ctrl,55100,161,172.13090744101646,49.451241043449556,0.2813611615245009,0.6363520871143376,0.04569872958257713,0.4528169631122404
SRR13404372,Ctrl,55384,158,172.2947602195581,57.45022889112608,0.34741080456449513,0.5316336848187202,0.059006211180124224,0.6746134698313642
SRR13404373,Ctrl,55616,164,180.05097453970083,56.433592233771364,0.24030854430379747,0.637945914844649,0.06704905063291139,0.384810272355617
SRR13404374,Ctrl,53857,166,187.9717771134672,67.80933649741094,0.24427651001726794,0.5847150788198378,0.08912490484059639,0.4267042874748654
SRR13404375,ALS,55503,155,161.4687674540114,49.255754174379554,0.3910239086175522,0.5311064266796389,0.03641244617408068,0.761383568371571
SRR13404376,ALS,55471,158,165.14490454471692,46.037050912685594,0.33976311946783005,0.5995024427178165,0.03338681473202214,0.5821056857839958
SRR13404377,ALS,54717,159,167.9312645064604,49.85673839579487,0.334813677650456,0.5855218670614252,0.042838605917722095,0.5868917576961271
SRR13404378,ALS,55896,156,161.547302132532,44.757809400268336,0.38632460283383424,0.557750107342207,0.02917918992414484,0.7132476797569112
SRR13404379,ALS,54317,156,161.31301434173474,45.687446302048365,0.37798479297457516,0.5617946499254377,0.03205258022350277,0.6916857566365718
SRR13404380,ALS,54929,158,166.38489686686458,49.12564612150203,0.3442625935298294,0.5783647981940323,0.038722714777257916,0.611669955040916
SRR13404381,ALS,55666,159,170.9524664966048,55.17338456695879,0.3485610606115043,0.551880860848633,0.05527611109115079,0.6493975903614457
SRR13404382,ALS,55585,155,162.54354592066196,48.76621645153817,0.4060627867230368,0.5267608167671134,0.03599892057209679,0.7932246274950802
SRR13404383,Ctrl,55458,165,185.46173680983793,66.30881361846158,0.25893468931443614,0.5766706336326589,0.0965054635940712,0.45865670211746673
SRR13404384,Ctrl,54684,159,169.06124277668067,51.918545482019816,0.3343756857581742,0.5806268744056763,0.04842367054348621,0.5909957661355483
SRR13404385,Ctrl,55403,158,166.56271321047603,49.41864047216212,0.35498077721423027,0.5741746836813891,0.040250527949750016,0.6336544347433873
SRR13404386,Ctrl,55730,159,167.8542975058318,51.40433389043489,0.34182666427417907,0.5757581195047551,0.04489502960703391,0.6088721275847742
SRR13404387,Ctrl,54049,158,169.84340135802708,58.36999685578264,0.3634849858461766,0.5274843197838998,0.0472164147347777,0.7076175040518639
SRR13404388,Ctrl,54424,156,165.13802734087903,54.45080378360559,0.3962406291342055,0.5158386006173747,0.039431133323533735,0.7911225238444608
