chr,start,end,width,strand,L,area,beta,stat,pval,qval,index.start,index.end,index.width,mid,direction,is_sig
chr21,9129890,9129936,47,*,3,1.6126192570588749,2.2819541034477298,13448.840755625679,5.9065349903132826e-5,0.4739905731701554,6090,6092,3,9129913,Hyper (ALS>Ctrl),TRUE
chr21,33766717,33766997,281,*,4,2.900222782700581,-2.2824924108499087,-10586.515826784433,1.1813069980626565e-4,0.4739905731701554,177592,177595,4,33766857,Hypo (ALS<Ctrl),TRUE
chr21,17406528,17406555,28,*,3,0.17408830593600505,-2.282637811191574,-9970.490606898413,1.1813069980626565e-4,0.4739905731701554,47211,47213,3,17406541,Hypo (ALS<Ctrl),TRUE
chr21,31136948,31136999,52,*,3,0.9455970629702283,-2.2813411989536987,-9962.812691584564,1.2403723479657893e-4,0.4739905731701554,148738,148740,3,31136973,Hypo (ALS<Ctrl),TRUE
chr21,11459335,11459389,55,*,3,3,2.2819249340673076,9385.102686950982,1.5947644473845863e-4,0.4739905731701554,18089,18091,3,11459362,Hyper (ALS>Ctrl),TRUE
chr21,37646577,37646643,67,*,4,0.46563362878919645,2.2824068507003203,9258.088389444103,1.5947644473845863e-4,0.4739905731701554,219674,219677,4,37646610,Hyper (ALS>Ctrl),TRUE
chr21,37002524,37002721,198,*,6,4.52042751559626,-2.281974997228496,-7714.686243858767,2.953267495156641e-4,0.6415629980282913,212671,212676,6,37002622,Hypo (ALS<Ctrl),TRUE
chr21,16537061,16537105,45,*,3,0.8206894574440495,2.281713567179774,7583.678072306066,3.071398194962907e-4,0.6415629980282913,42429,42431,3,16537083,Hyper (ALS>Ctrl),TRUE
chr21,12193912,12194060,149,*,3,7.185443845782044,-2.2821478586182478,-7285.847301904642,3.4848556442848366e-4,0.6415629980282913,18742,18744,3,12193986,Hypo (ALS<Ctrl),TRUE
chr21,44370400,44370499,100,*,3,1.6786038463890054,2.282775243085984,7220.049166906891,3.6029863440911026e-4,0.6415629980282913,294464,294466,3,44370449,Hyper (ALS>Ctrl),TRUE
chr21,16274437,16274769,333,*,3,1.1705842147037353,2.2827692370499233,7120.44833008622,3.9573784435098996e-4,0.6415629980282913,40421,40423,3,16274603,Hyper (ALS>Ctrl),TRUE
chr21,38758910,38758923,14,*,3,2.0346974126000825,-2.282628921468333,-6415.044270988709,5.611208240797618e-4,0.6600757611554757,230684,230686,3,38758916,Hypo (ALS<Ctrl),TRUE
chr21,29961600,29962057,458,*,3,2.2348976423053433,2.282054922858424,6406.338928099256,5.611208240797618e-4,0.6600757611554757,139542,139544,3,29961828,Hyper (ALS>Ctrl),TRUE
chr21,13294976,13295443,468,*,3,2.9131210710973265,-2.2826871245644416,-6106.97430545873,6.438123139441478e-4,0.6600757611554757,20911,20913,3,13295209,Hypo (ALS<Ctrl),TRUE
chr21,43361806,43361847,42,*,4,0.3484888756570491,2.282060814060785,6101.188019599263,6.497188489344611e-4,0.6600757611554757,284348,284351,4,43361826,Hyper (ALS>Ctrl),TRUE
chr21,32124291,32125088,798,*,3,0.7228439954544239,2.2819426259368423,6064.081404010766,6.674384539054009e-4,0.6600757611554757,160778,160780,3,32124689,Hyper (ALS>Ctrl),TRUE
chr21,30096327,30097424,1098,*,3,1.684239514329347,2.2815869794217867,5821.706415237772,7.32410338798847e-4,0.6600757611554757,140542,140544,3,30096875,Hyper (ALS>Ctrl),TRUE
chr21,42595073,42595111,39,*,3,0.8692918883519682,2.281836768396181,5758.6321323134835,7.383168737891603e-4,0.6600757611554757,275619,275621,3,42595092,Hyper (ALS>Ctrl),TRUE
chr21,13041811,13041867,57,*,3,2.1069086145461315,-2.281533782267378,-5588.167185294765,7.796626187213533e-4,0.6600757611554757,19898,19900,3,13041839,Hypo (ALS<Ctrl),TRUE
chr21,33400793,33400900,108,*,3,0.9743601505758905,-2.28178485186219,-5530.452206234838,7.855691537116666e-4,0.6600757611554757,174563,174565,3,33400846,Hypo (ALS<Ctrl),TRUE
chr21,33116884,33116918,35,*,4,0.4296534519398139,-2.400907290224031,-5410.995881854515,8.15101828663233e-4,0.6600757611554757,171332,171335,4,33116901,Hypo (ALS<Ctrl),TRUE
chr21,44295423,44295574,152,*,4,3.3886871749386343,2.40215446949802,5261.206321811117,8.977933185276189e-4,0.6600757611554757,293644,293647,4,44295498,Hyper (ALS>Ctrl),TRUE
chr21,36772706,36772722,17,*,3,0.6310131240452703,2.282304839806688,5097.166805766791,9.745782734016916e-4,0.6600757611554757,209554,209556,3,36772714,Hyper (ALS>Ctrl),TRUE
chr21,29080542,29080588,47,*,3,1.6260702046717275,-2.2822221488505585,-5053.258399037344,9.863913433823181e-4,0.6600757611554757,131799,131801,3,29080565,Hypo (ALS<Ctrl),TRUE
chr21,13980922,13980984,63,*,4,3.8461735675116504,-2.2826959565529763,-5018.024499637525,0.0010100174833435713,0.6600757611554757,23550,23553,4,13980953,Hypo (ALS<Ctrl),TRUE
chr21,18651959,18651988,30,*,3,0.3502352549076577,2.2823083604853447,5011.287889640919,0.0010159240183338846,0.6600757611554757,56036,56038,3,18651973,Hyper (ALS>Ctrl),TRUE
chr21,27635108,27635552,445,*,3,1.3407592392821066,2.2820063873749445,4990.779287149488,0.001021830553324198,0.6600757611554757,121053,121055,3,27635330,Hyper (ALS>Ctrl),TRUE
